county,total,PCT_WHITE,PCT_BLACK,PCT_ASIAN,PCT_NA,PCT_PI,PCT_HISP,PCT_NHISP,BAC_TOTAL,WA_TOTAL,IAC_TOTAL,AAC_TOTAL,NAC_TOTAL,H_TOTAL,NH_TOTAL,EXP_WHITE,EXP_BLACK,EXP_NA,EXP_ASIAN,EXP_PI,EXP_HISP,EXP_NHISP,adm_hisp,adm_nhisp,adm_unk_eth,total_adm,adm_white,adm_black,adm_na,adm_asian,adm_pi,rate_white,rate_black,rate_na,rate_asian,rate_pi,rate_hisp,rate_nhisp,pct_adm,adj_exp_white,adj_exp_black,adj_exp_na,adj_exp_asian,adj_exp_pi,adj_exp_hisp,adj_exp_nhisp,pae_white,pae_black,pae_na,pae_asian,pae_pi,pae_hisp,pae_nhisp,diff_ae_white,diff_ae_black,diff_ae_na,diff_ae_asian,diff_ae_pi,diff_ae_hisp,diff_ae_nhisp,pd_ae_white,pd_ae_black,pd_ae_na,pd_ae_asian,pd_ae_pi,pd_ae_hisp,pd_ae_nhisp,arcgis_county
ELK,9300,0.9798405845234142,0.009099966788442378,0.005978080371969445,0.005313849219528396,7.970773829292594e-4,0.008535370308867486,0.9914646296911325,274,29503,160,180,24,257,29853,9112.517436067752,84.62969113251413,49.418797741614085,55.59614745931584,7.4128196612421124,79.37894387246762,9220.621056127531,78,6047,6785,13037,10600,13,0,7,6,35928.549639019766,4744.525547445255,0,3888.888888888889,25000,30350.19455252918,20255.92067798881,1.4018279569892473,12774.18170043175,118.6362670209233,69.2766522749917,77.93623380936566,10.391497841248755,111.27562271670541,12925.724377283294,1.1632350856246074,0.1536103916490071,0,0.12590800477897254,0.8094086021505376,0.9826283419103804,0.6558126576497239,1487.482563932248,-71.62969113251413,-49.418797741614085,-48.59614745931584,-1.4128196612421124,-1.378943872467616,-3173.621056127531,16.32350856246074,-84.63896083509928,-100,-87.40919952210274,-19.059139784946243,-1.7371658089619602,-34.418734235027614,"Elk County, Pennsylvania"
ERIE,111494,0.8762115900185605,0.09539890404501665,0.022482544265386088,0.00718483928939693,0.0013220693515599681,0.04327107209144743,0.9567289279085526,25905,237930,1951,6105,359,11750,259794,97692.33501752939,10636.405407595086,801.0664717320213,2506.6687903249567,147.4028002828271,4824.464911763839,106669.53508823617,2724,77878,31573,114159,81805,4186,27,378,281,34381.96108099021,16159.042655857942,1383.9056893900563,6191.646191646192,78272.98050139275,23182.978723404256,29976.827794329354,1.0239026315317417,100027.43890492886,10890.643486875057,820.2140684382642,2566.5847707922107,150.9261151047344,4939.782318887546,109219.21768111247,0.8373737815287284,0.3935540099863929,0.033705068122027504,0.15079774458395728,1.9063409885079192,0.5646222015954299,0.7300866169106293,-15887.335017529389,-6450.405407595086,-774.0664717320213,-2128.6687903249567,133.5971997171729,-2100.464911763839,-28791.535088236167,-16.262621847127157,-60.64459900136071,-96.62949318779725,-84.92022554160428,90.63409885079193,-43.53777984045701,-26.991338308937074,"Erie County, Pennsylvania"
FAYETTE,48910,0.9266821666167906,0.06050351818174843,0.006031168711585829,0.00604651519685704,0.002240586849596771,0.013075205451071568,0.9869247945489285,7885,120768,788,786,292,1704,128619,45324.02476922723,2959.227074269316,295.73505827827785,294.9844616836629,109.58710281377807,639.5082986119104,48270.49170138809,724,29431,20718,51544,36194,1278,5,34,29,29969.859565447798,16207.989854153457,634.5177664974619,4325.699745547074,9931.506849315068,42488.26291079813,22882.31132258842,1.0538540175833162,47764.90559609585,3118.593341160041,311.66157930679924,310.87056006997994,115.48880857561596,673.9483897700328,50870.051610229966,0.7985610321300047,0.4318695280643714,0.016907024919903643,0.11526030830892073,0.26462968045865626,1.1321197888619798,0.6097099690234493,-9130.024769227231,-1681.2270742693158,-290.73505827827785,-260.9844616836629,-80.58710281377807,84.49170138808961,-18839.49170138809,-20.143896786999527,-56.81304719356286,-98.30929750800964,-88.47396916910793,-73.53703195413436,13.211978886197983,-39.02900309765507,"Fayette County, Pennsylvania"
FOREST,200,0.7749862712795168,0.2127951674903899,0.0035694673256452497,0.009747391543108183,8.237232289950577e-4,0.06795716639209226,0.9320428336079077,1550,5645,71,26,6,495,6789,154.99725425590336,42.55903349807798,1.9494783086216365,0.7138934651290499,0.16474464579901155,13.591433278418453,186.40856672158154,94,1613,2256,3983,2601,770,0,0,0,46076.17360496014,49677.41935483871,0,0,0,18989.89898989899,23759.02194726764,19.915,3086.770318506315,847.5631521142229,38.823860516199886,14.217188358045028,3.2808896210873146,270.6733937397035,3712.326606260296,16.780942426926483,18.09251612903226,0,0,0,6.916121212121212,8.653035793194874,2446.0027457440965,727.440966501922,-1.9494783086216365,-0.7138934651290499,-0.16474464579901155,80.40856672158155,1426.5914332784184,1578.0942426926483,1709.2516129032258,-100,-100,-100,591.6121212121211,765.3035793194874,"Forest County, Pennsylvania"
FRANKLIN,48150,0.9247181053053778,0.05395946409279397,0.014471564701544194,0.0078147743225147,0.0013455902806978955,0.05871431436352933,0.9412856856364706,8341,142942,1208,2237,208,9076,145503,44525.17677045394,2598.14819606803,376.2813836290828,696.805840379353,64.79017201560367,2827.094236603937,45322.90576339606,1237,36240,6708,45046,36622,944,0,11,35,25620.1816121224,11317.58781920633,0,491.7299955297274,16826.923076923078,13629.35213750551,24906.702954578257,0.9355347871235722,41654.85177158604,2430.6580195239976,352.0243241319972,651.8861035457597,60.613459784317406,2644.8450048195423,42401.154995180455,0.8225009456739915,0.3633357024932701,0,0.015786320037173358,0.540205387810528,0.4375517391616748,0.7995956876460545,-7903.176770453938,-1654.1481960680298,-376.2813836290828,-685.805840379353,-29.790172015603673,-1590.0942366039371,-9082.905763396062,-17.749905432600855,-63.66642975067299,-100,-98.42136799628265,-45.97946121894721,-56.24482608383252,-20.04043123539455,"Franklin County, Pennsylvania"
FULTON,2900,0.9693631669535284,0.018864027538726333,0.004543889845094664,0.007573149741824441,4.130808950086059e-4,0.012185886402753872,0.9878141135972461,274,14080,110,66,6,177,14348,2811.1531841652322,54.70567986230637,21.962134251290877,13.177280550774526,1.197934595524957,35.33907056798623,2864.6609294320137,18,2301,655,3049,2660,19,0,0,0,18892.045454545456,6934.306569343065,0,0,0,10169.49152542373,16037.078338444382,1.0513793103448277,2955.5882960413082,57.516419965576596,23.09053356282272,13.854320137693632,1.2594836488812393,37.15476764199656,3011.8452323580036,0.9462308973354232,0.34731311351623456,0,0,0,0.5093512565751024,0.8032364236755333,-151.15318416523223,-35.70567986230637,-21.962134251290877,-13.177280550774526,-1.197934595524957,-17.339070567986226,-563.6609294320137,-5.3769102664576796,-65.26868864837654,-100,-100,-100,-49.06487434248976,-19.676357632446674,"Fulton County, Pennsylvania"
GREENE,11410,0.9443823136302884,0.04206104579798696,0.005809988816453452,0.008292190611276288,8.455852268077794e-4,0.015711519052944545,0.9842884809470555,1542,34622,304,213,31,576,36085,10775.40219852159,479.9165325550312,94.61389487466245,66.2919723957339,9.648127437876763,179.26843239409726,11230.731567605902,132,8422,3971,12688,9902,530,0,0,0,28600.311940384727,34370.94682230869,0,0,0,22916.666666666664,23339.337674934184,1.1120070113935145,11982.322795341099,533.6705490848586,105.21131447587355,73.71713810316142,10.728785357737106,199.3477537437604,12488.65224625624,0.9189448168680495,1.1043587041653453,0,0,0,0.7363259567630733,0.7499066244529028,-873.4021985215895,50.08346744496879,-94.61389487466245,-66.2919723957339,-9.648127437876763,-47.26843239409726,-2808.7315676059025,-8.105518313195049,10.43587041653453,-100,-100,-100,-26.367404323692668,-25.00933755470972,"Greene County, Pennsylvania"
HUNTINGDON,12610,0.9187796012776738,0.06610860226897236,0.010463707456768367,0.005353012446304659,8.591254543451922e-4,0.02081727062451812,0.9791827293754819,3001,41708,243,475,39,945,44450,11585.810772111467,833.6294746117414,67.50148694790175,131.9473510298491,10.833571979292874,262.5057825751735,12347.494217424826,224,10340,4384,15173,11577,779,0,14,0,27757.26479332502,25958.013995334888,0,2947.3684210526317,0,23703.703703703704,23262.09223847019,1.2032513877874702,13940.642890186144,1003.0658222271176,81.22125784778059,158.76583324154643,13.035510518779601,315.8604471858134,14857.139552814186,0.9992395204543928,0.9344679185711555,0,0.10610292583162903,0,0.8533145357887625,0.8374168732477036,-8.810772111466576,-54.62947461174144,-67.50148694790175,-117.9473510298491,-10.833571979292874,-38.5057825751735,-2007.4942174248263,-0.07604795456072067,-6.553208142884448,-100,-89.3897074168371,-100,-14.668546421123752,-16.258312675229636,"Huntingdon County, Pennsylvania"
INDIANA,29530,0.9483071020002132,0.03317108987340273,0.013690032093414337,0.005246266624033349,6.987127106500397e-4,0.01295579161781599,0.987044208382184,2801,80076,443,1156,59,1094,83347,28003.508722066294,979.5422839615827,154.9222534077048,404.26664771852535,20.63298634549567,382.5845264741062,29147.415473525893,260,18770,7685,27088,21290,232,6,35,70,26587.242119986015,8282.756158514816,1354.4018058690745,3027.6816608996537,118644.06779661016,23765.99634369287,22520.30666970617,0.9173044361666103,25687.742778981774,898.5384824907333,142.11087031181538,370.8355893464076,18.926729906088273,350.94648334339956,26737.0535166566,0.7602618732996068,0.23684531418257687,0.03872910358597714,0.08657652120827217,3.3926257124326313,0.6795883837649067,0.6439679023016115,-6713.508722066294,-747.5422839615827,-148.9222534077048,-369.26664771852535,49.36701365450433,-122.58452647410621,-10377.415473525893,-23.97381267003932,-76.31546858174232,-96.12708964140228,-91.34234787917278,239.26257124326312,-32.04116162350933,-35.60320976983885,"Indiana County, Pennsylvania"
JEFFERSON,8000,0.9790434264227083,0.009561150089420828,0.004562755078644472,0.0070160957490713995,6.419956894575137e-4,0.00969872059430458,0.9903012794056955,417,42700,306,199,28,423,43191,7832.3474113816665,76.48920071536662,56.128765992571196,36.50204062915578,5.135965515660109,77.58976475443664,7922.410235245564,83,9624,6418,16256,13042,12,0,9,0,30543.325526932087,2877.6978417266187,0,4522.613065326634,0,19621.74940898345,22282.4199486004,2.032,15915.329939927546,155.42605585362497,114.05365249690468,74.17214655844454,10.43628192782134,157.66240198101525,16098.337598018987,1.6651457494145199,0.15688489208633094,0,0.2465615577889447,0,1.0697287234042554,1.2147818295478223,5209.6525886183335,-64.48920071536662,-56.128765992571196,-27.50204062915578,-5.135965515660109,5.4102352455633564,1701.5897647544361,66.51457494145198,-84.3115107913669,-100,-75.34384422110553,-100,6.97287234042554,21.478182954782234,"Jefferson County, Pennsylvania"
JUNIATA,4000,0.9718423820697467,0.014078808965126628,0.006068452140140788,0.008334007605793349,7.282142568168946e-4,0.04098228011975079,0.9590177198802492,348,24022,206,150,18,1013,23705,3887.3695282789868,56.31523586050651,33.3360304231734,24.273808560563154,2.9128570272675782,163.92912047900316,3836.0708795209966,144,6464,634,7384,6421,39,0,0,0,26729.664474231955,11206.896551724138,0,0,0,14215.202369200395,27268.508753427544,1.846,7176.0841492030095,103.95792539849502,61.5383121611781,44.809450602799586,5.3771340723359495,302.6131564042399,7081.38684359576,1.6517596161851638,0.6925301724137931,0,0,0,0.8784284304047384,1.6850574984180553,2533.6304717210132,-17.31523586050651,-33.3360304231734,-24.273808560563154,-2.9128570272675782,-19.92912047900316,2627.9291204790034,65.17596161851638,-30.74698275862069,-100,-100,-100,-12.15715695952616,68.50574984180552,"Juniata County, Pennsylvania"
LACKAWANNA,85780,0.9083412200562138,0.05027845283898245,0.035078875155158395,0.006677161160228089,0.001226999700383794,0.08071565470896803,0.919284345291032,10572,190996,1404,7376,258,16972,193297,77917.50985642201,4312.885684527914,572.7668843243655,3009.0659108094874,105.25203429892186,6923.788860935278,78856.21113906472,2798,78049,25145,108015,83295,1304,161,417,284,43610.860960438964,12334.468407113129,11467.236467236467,5653.470715835141,110077.51937984496,16485.976903134575,40377.7606481218,1.2592096059687572,98114.47688437192,5430.827083402689,721.233562722037,3789.044699884434,132.5343726369555,8718.501443389181,99296.49855661081,1.0690151694206738,0.3023497712165156,0.2810916699381376,0.13858121169829088,2.69828513901616,0.40411399830324135,0.9897635059127913,5377.49014357799,-3008.8856845279142,-411.7668843243655,-2592.0659108094874,178.74796570107816,-4125.788860935278,-807.2111390647187,6.901516942067376,-69.76502287834845,-71.89083300618624,-86.14187883017091,169.82851390161602,-59.588600169675864,-1.0236494087208725,"Lackawanna County, Pennsylvania"
LANCASTER,275970,0.8986081927462778,0.06534931218506937,0.02863949967737132,0.008421435780347777,0.0016159009061178118,0.10790688439966248,0.8920931156003375,35548,488815,4581,15579,879,58698,485271,247988.90295219028,18034.449683713592,2324.063632302576,7903.642725964163,445.94017306133253,29779.062887774853,246190.93711222516,14922,181187,26917,227918,179072,6628,16,542,338,36633.90035084848,18645.212107572857,349.26871862038854,3479.0423005327684,38452.78725824801,25421.64980067464,37337.28164262855,0.8258796245968765,204808.98207434613,14894.28453459664,1919.3968001853048,6527.457487467116,368.2929027205594,24593.921278602273,203324.07872139773,0.7220968271895749,0.367518838458684,0.006884493082552964,0.06857597424279847,0.7579492057862054,0.501090314904634,0.7359612913671417,-68916.90295219028,-11406.449683713592,-2308.063632302576,-7361.642725964163,-107.94017306133253,-14857.062887774853,-65003.93711222516,-27.79031728104251,-63.248116154131594,-99.3115506917447,-93.14240257572015,-24.20507942137946,-49.890968509536606,-26.403870863285828,"Lancaster County, Pennsylvania"
LAWRENCE,18370,0.9304523499907115,0.05768159019134312,0.007152145643693108,0.005097064833735835,8.940182054616385e-4,0.01533763700538733,0.9846623629946126,4968,80138,439,616,77,1321,84807,17092.40966932937,1059.6108118149732,93.63308099572728,131.38491547464238,16.423114434330298,281.75239178896527,18088.247608211033,241,17253,12431,30909,21834,505,0,9,20,27245.50150989543,10165.056360708533,0,1461.038961038961,25974.02597402597,18243.754731264195,20343.83954154728,1.6825802939575394,28759.351685862897,1782.8802712242245,157.5451769459409,221.06566970091023,27.63320871261378,474.071022199517,30434.92897780048,1.277409120328946,0.4765900785166601,0,0.06850101449992577,1.2177958133320137,0.8553609730508015,0.9538237409005902,4741.590330670631,-554.6108118149732,-93.63308099572728,-122.38491547464238,3.576885565669702,-40.75239178896527,-835.2476082110334,27.74091203289459,-52.34099214833399,-100,-93.14989855000742,21.77958133320137,-14.46390269491985,-4.6176259099409815,"Lawrence County, Pennsylvania"
LEBANON,29750,0.9278189317881123,0.04680236877295014,0.018353037731977728,0.007195466219514783,0.0014504135447399515,0.13744260253716242,0.8625573974628375,6615,131137,1017,2594,205,19426,121913,27602.61322069634,1392.3704709952667,214.0651200305648,546.0028725263373,43.14980295601356,4088.917425480582,25661.082574519416,3467,38977,6605,49889,39077,603,0,109,67,29798.607563082885,9115.646258503402,0,4202.004626060138,32682.926829268294,17847.215072583138,31971.159761469244,1.6769411764705882,46287.95868797713,2334.9233757137094,358.974614225373,915.6146994106367,72.35968133353144,6856.873997976496,43032.1260020235,1.4156992922213685,0.4330743954724747,0,0.19963264935889546,1.552730149620824,0.8479016911407825,1.5189148737903535,11474.386779303659,-789.3704709952667,-214.0651200305648,-437.00287252633734,23.85019704398644,-621.9174254805821,13315.917425480584,41.56992922213685,-56.69256045275253,-100,-80.03673506411046,55.27301496208239,-15.209830885921749,51.891487379035354,"Lebanon County, Pennsylvania"
LEHIGH,292250,0.8284988285884151,0.11512410447416786,0.043158983491648095,0.015628775189421188,0.0026333006659264467,0.254965943549635,0.745034056450365,42407,305185,5757,15898,970,93919,274440,242128.7826549643,33645.019532575556,4567.509549108342,12613.212925434156,769.5821196170041,74513.79700238082,217736.20299761917,20801,141003,23668,190129,138805,6218,26,282,426,45482.24847223815,14662.673615205038,451.62410977939896,1773.8080261668135,43917.52577319588,22147.808217719525,51378.44337560122,0.6505697177074422,157521.65378068676,21888.43085956906,2971.4833979894606,8205.77437228356,500.66682231192937,48476.41988114854,141652.58011885145,0.5732693093237013,0.18481190043535714,0.005692379998433863,0.02235750729549294,0.5535471642870371,0.2791563554241556,0.6475863823231169,-103323.7826549643,-27427.019532575556,-4541.509549108342,-12331.212925434156,-343.5821196170041,-53712.797002380816,-76733.20299761917,-42.67306906762987,-81.5188099564643,-99.43076200015662,-97.7642492704507,-44.64528357129629,-72.08436445758444,-35.2413617676883,"Lehigh County, Pennsylvania"
