county,county_population,partiallycovered,ratepartiallycovered,fullycovered,ratefullycovered,TOT_POP,TOT_BAC,TOT_IAC,TOT_NHWA,TOT_NHAAC,TOT_NHNAC,TOT_H,TOT_O65,TOT_U65,U65Partial,O65Partial,U65Full,O65Full,Rate.O65Partial.Per.100K,Rate.O65Full.Per.100K,Rate.U65Partial.Per.100K,Rate.U65Full.Per.100K,partially_covered_hispanic,fully_covered_hispanic,Rate.HispanicPartial.Per.100K,Rate.HispanicFull.Per.100K,partially_covered_african_american,partially_covered_native_american,partially_covered_asian,partially_covered_pacific_islander,partially_covered_white,fully_covered_african_american,fully_covered_native_american,fully_covered_asian,fully_covered_pacific_islander,fully_covered_white,Rate.BlackPartial.Per.100K,Rate.BlackFull.Per.100K,Rate.NAPartial.Per.100K,Rate.NAFull.Per.100K,Rate.AsianPartial.Per.100K,Rate.AsianFull.Per.100K,Rate.PIPartial.Per.100K,Rate.PIFull.Per.100K,Rate.WhitePartial.Per.100K,Rate.WhiteFull.Per.100K,Compare.Partial.O65,Compare.Full.O65,Compare.Partial.U65,Compare.Full.U65,Compare.Partial.Hispanic,Compare.Full.Hispanic,Compare.Partial.Black,Compare.Full.Black,Compare.Partial.NA,Compare.Full.NA,Compare.Partial.PA,Compare.Full.PA,Compare.Partial.Asian,Compare.Full.Asian,Compare.Partial.White,Compare.Full.White
GREENE,36233,4594,12679,6836,18866.8,36661,1460,259,576,34185,187,27,6877,23869,2541,2140,2412,2797,31118.220154136976,40671.804565944454,10645.607273031967,10105.157317022078,29,35,107407.40740740742,129629.62962962964,31,0,0,0,3861,157,0,0,0,4015,2123.2876712328766,10753.424657534248,0,0,0,0,0,0,670312.5,697048.6111111111,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
HUNTINGDON,45144,2966,6570.1,10540,23347.5,45395,2865,181,945,40982,433,28,9411,29409,1762,1192,4836,4781,12666.029114865582,50802.25268303049,5991.363188139685,16443.945730898704,51,97,182142.85714285713,346428.5714285714,41,0,0,0,2377,522,0,12,0,7386,1431.0645724258288,18219.895287958116,0,0,0,29.281147820994583,0,0,251534.39153439156,781587.3015873015,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
INDIANA,84073,8540,10157.8,14752,17546.7,84441,2633,356,1094,79263,1128,49,16389,55564,5047,3015,5550,7952,18396.485447556286,48520.34901458296,9083.2193506587,9988.481750773883,148,45,302040.8163265306,91836.73469387756,60,0,12,15,6361,78,0,13,7,10405,2278.769464489176,2962.4003038359288,0,0,15.13947238938723,16.40109508850283,1329.787234042553,620.5673758865248,581444.2413162705,951096.8921389397,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
JEFFERSON,43425,3295,7587.8,11631,26784.1,43614,380,266,423,42364,193,22,9131,26840,2138,1318,5026,5876,14434.344540576061,64352.20676815244,7965.722801788376,18725.782414307003,40,30,181818.18181818182,136363.63636363635,0,0,0,0,2759,0,0,8,0,8810,0,0,0,0,0,18.883958077613066,0,0,652245.8628841607,2082742.3167848699,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
JUNIATA,24763,2067,8347.1,4210,17001.2,24718,236,106,1013,23229,140,9,4971,15235,1142,975,1512,2330,19613.759806879905,46871.856769261714,7495.8976042008535,9924.515917295701,40,21,444444.44444444444,233333.33333333334,15,0,0,0,1888,7,0,0,0,3376,6355.932203389831,2966.1016949152545,0,0,0,0,0,0,186377.0977295163,333267.5222112537,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
LACKAWANNA,209674,30242,14423.3,62176,29653.7,210269,8040,805,16972,177479,7063,159,42015,132680,20533,10451,30964,23310,24874.449601332857,55480.185647982864,15475.58034368405,23337.353029846246,885,630,556603.7735849057,396226.41509433964,410,85,253,146,24050,444,65,106,55,43208,5099.502487562188,5522.388059701492,10559.006211180125,8074.534161490683,142.5520765837085,59.72537595997272,2067.1102930765965,778.7059323233754,141703.9830308744,254584.0207400424,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
LANCASTER,545724,85426,15653.7,101406,18581.9,543969,24894,2248,58698,443899,14775,377,97562,339591,50219,29919,41544,44730,30666.653000143502,45847.76859842971,14788.08331198412,12233.539758120798,5702,2711,1512466.8435013262,719098.1432360742,2336,7,185,109,65891,1744,8,288,95,67829,9383.787257973809,7005.704185747571,311.38790035587186,355.8718861209964,41.67614705146892,64.87962351796243,737.7326565143824,642.9780033840948,112254.25057071792,115555.8962826672,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
LAWRENCE,85512,7002,8188.3,16592,19403.1,86128,4740,377,1321,79127,590,73,18883,53221,4245,2536,7205,8054,13430.069374569719,42652.12095535667,7976.174818210857,13537.889179083446,125,41,171232.87671232875,56164.38356164384,128,0,0,0,4486,194,0,5,0,10860,2700.42194092827,4092.827004219409,0,0,0,6.318955603017933,0,0,339591.21877365635,822104.4663133989,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
LEBANON,141793,17235,12155,24459,17249.8,141339,3865,504,19426,115202,2344,126,27405,87213,9022,6799,10123,11511,24809.341361065497,42003.28407224959,10344.788047653446,11607.214520770987,1072,740,850793.6507936508,587301.5873015872,194,0,22,30,12713,190,0,71,16,17654,5019.404915912031,4915.912031047866,0,0,19.096890678981268,61.630874463984995,1279.863481228669,682.5938566552901,65443.22042623288,90878.20446823844,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
LEHIGH,369318,65563,17752.5,87097,23583.2,368359,25171,1657,93919,233518,14678,324,61617,238248,42630,21254,39630,35506,34493.727380430726,57623.707742993,17893.119774352774,16633.92767200564,7245,4264,2236111.111111111,1316049.3827160494,2310,15,106,173,48020,1626,8,87,100,59493,9177.227762107188,6459.814866314409,905.2504526252263,482.8002414001207,45.392646391284615,37.256228641903405,1178.6346913748466,681.2917291184085,51129.164492807635,63345.010061861816,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
