"ToxPi Score","HClust Group","KMeans Group","Name","Source","Transmissible Cases!25!0xcc3333ff","Disease Spread!5!0xe05251ff","Population Mobility!10!0x57b757ff","Residential Density!10!0x70c970ff","Social Distancing!10!0x4258c9ff","Testing!10!0x5f73ddff","Population Demographics!10!0x6b0b9eff","Air Pollution!10!0x7e24aeff","Age Distribution!10!0x933fbfff","Comorbidities!10!0xa95ad2ff","Health Disparities!10!0xc177e7ff","Hospital Beds!5!0xdb95feff"
"0.34356909477655534","4","1","Virginia, Goochland","-77.9038,37.7171","0.13863500187701666","0.14814620459967956","0.5816854968846827","0.1493","0.7297297297297297","0.6549505098985919","0.4925173281208804","0.3592814371257485","0.6335581539925471","0.21736301318328596","0.055567408779093976","0.0"
"0.38141113665479265","4","1","Virginia, Grayson","-81.2322,36.6568","0.14919206341609595","0.16832189719513696","0.5079116558344787","0.5068","0.2702702702702702","0.6549505098985919","0.4170009201207011","0.34131736526946105","0.6758588134982833","0.3807952154212462","0.5555933507340668","0.0"
"0.36313008992024354","4","1","Virginia, Greene","-78.4653,38.2955","0.17841786351179068","0.2517999563646947","0.6055384633906306","0.1188","0.7297297297297297","0.6549505098985919","0.48087746481762983","0.32934131736526945","0.540406913436432","0.24569452126470415","0.26184256713823234","0.0"
"0.42804021457359587","4","1","Virginia, Greensville","-77.5635,36.6788","0.07119303506391834","0.0973698561692456","0.5715950430516399","0.9567","0.45945945945945943","0.6549505098985919","0.5660117213385453","0.37724550898203596","0.5067215141840639","0.4666517521908319","0.5644996573203604","0.0"
"0.43213663610306235","4","1","Virginia, Halifax","-78.9351,36.7665","0.0660523371941741","0.09037297667895197","0.5607323201136628","0.5969","0.6486486486486487","0.6549505098985919","0.5274770311140753","0.4131736526946108","0.6694051144412375","0.524648008869629","0.41968157253014804","0.3515475233055286"
"0.3829292566284289","4","1","Virginia, Hanover","-77.4946,37.7583","0.16452736102840831","0.18728400224272035","0.6668021706771806","0.0509","1.0","0.6549505098985919","0.47996573621329663","0.3712574850299401","0.5494974081927578","0.26950611243488837","0.044901577775468965","0.387748607881712"
"0.41234568927797927","4","1","Virginia, Henrico","-77.3933,37.5346","0.14369989964610727","0.15449461679091153","0.7779422067602116","0.1945","1.0","0.6549505098985919","0.5919194937719775","0.32934131736526945","0.5016507991249867","0.281793708903784","0.16749885784235652","0.4364543295936786"
"0.44823149384180544","4","1","Virginia, Henry","-79.8763,36.6854","0.02793001480085107","0.06471945559090443","0.6238564822782198","0.7956","0.7297297297297297","0.6549505098985919","0.5643225402633759","0.40119760479041916","0.6726459331898672","0.4837062810772179","0.5746998269975662","0.0"
"0.25903907139393073","4","1","Virginia, Highland","-79.5612,38.358","0.06345274362442063","0.27786471917927363","0.4144440568935936","0.056","0.0","0.6549505098985919","0.17155561197195504","0.281437125748503","0.8461955486466325","0.28116729065890983","0.23467402995525952","0.0"
"0.3521119564117064","4","1","Virginia, Lancaster","-76.464,37.7189","0.12861087274734964","0.08084426096810748","0.5994595062311978","0.1512","0.2702702702702702","0.6549505098985919","0.5143334730554561","0.32934131736526945","0.8327916323672433","0.3515919019597787","0.17362672282722544","0.32376961763773765"
"0.422660883770681","4","1","Virginia, Lee","-83.1261,36.7059","0.03742341936889927","0.036311866710927794","0.5764942259807835","0.7787","0.6486486486486487","0.6549505098985919","0.3452565084575185","0.407185628742515","0.613308186513927","0.5065830658216954","0.6404197912921203","0.0"
"0.3699277788574975","4","1","Virginia, Loudoun","-77.6348,39.0899","0.14512717356733604","0.15822582752985856","0.7280042221378911","0.0853","1.0","0.6549505098985919","0.5694370214952605","0.39520958083832336","0.30440018439969097","0.0930419763025746","0.052106454397213134","0.5994328771318083"
"0.3769464416917973","4","1","Virginia, Louisa","-77.9627,37.9785","0.13574817668522707","0.12729762996882985","0.5609604929305361","0.1856","0.7297297297297297","0.6549505098985919","0.5335779643500895","0.34730538922155696","0.5978576089534523","0.34418286062379544","0.3546467087422318","0.0"
"0.42409603779388566","4","1","Virginia, Lunenburg","-78.2413,36.9462","0.03773797040092742","0.07761049052938333","0.520311448585647","0.9449","0.45945945945945943","0.6549505098985919","0.624143267799899","0.3712574850299401","0.6371246099900815","0.4403592432981864","0.5155442770947547","0.0"
"0.3270722131380794","4","1","Virginia, Madison","-78.2822,38.4153","0.07230937769452941","0.08570344150432768","0.5422424420110802","0.1624","0.45945945945945943","0.6549505098985919","0.4233316080350929","0.3233532934131737","0.6388951207196634","0.38815253077293244","0.27199253492751074","0.0"
"0.3185392126936677","4","1","Virginia, Mathews","-76.341,37.4416","0.04712364684330102","0.07102050051311898","0.5567263142990475","0.0143","0.6486486486486487","0.6549505098985919","0.4207104323512821","0.3233532934131737","0.7675615085087122","0.26171693969169973","0.18045314449487782","0.0"
"0.459717670156027","4","1","Virginia, Mecklenburg","-78.3613,36.6788","0.09452050667847074","0.10496403497437241","0.5771134550162434","0.7265","0.6486486486486487","0.6549505098985919","0.5525060989089114","0.40119760479041916","0.7021046890169179","0.5256350997317082","0.4590135872444766","0.4200357990221128"
"0.3409893574910584","4","1","Virginia, Middlesex","-76.5506,37.6319","0.03683782536373483","0.06734602709012905","0.5411560934739941","0.3037","0.45945945945945943","0.6549505098985919","0.5187857461495065","0.33532934131736525","0.7810707630337572","0.3044622408244149","0.2376852375267393","0.0"
"0.4294702105612582","4","1","Virginia, Montgomery","-80.3787,37.1775","0.09795863898774189","0.10360264201126825","0.6826478297295898","0.8402","1.0","0.6549505098985919","0.379988116750144","0.3592814371257485","0.42544161229202965","0.22923275948796426","0.27620781149139334","0.44745927353055504"
"0.354885330781036","4","1","Virginia, Nelson","-78.885,37.7879","0.07849477589056374","0.09442313683780802","0.5337589518692621","0.4066","0.5405405405405405","0.6549505098985919","0.5230116875725919","0.32934131736526945","0.7050743605672205","0.26253133720365945","0.23680942160050086","0.0"
"0.4249720899020211","4","1","Virginia, Northampton","-75.8775,37.3406","0.12499785715809804","0.17515207979393915","0.6037845828298964","0.5514","0.45945945945945943","0.6549505098985919","0.6385490475190124","0.3233532934131737","0.7109436441933698","0.43833735320035133","0.4031919343680184","0.25622123220235243"
"0.3200731924901156","4","1","Virginia, Northumberland","-76.4195,37.892","0.019160464146712727","0.0894389243361056","0.5225437888848823","0.021","0.45945945945945943","0.6549505098985919","0.5057642231600252","0.33532934131736525","0.8380041901711958","0.29665448763959246","0.2745882830604986","0.0"
"0.41742081602858105","4","1","Virginia, Nottoway","-78.0507,37.1436","0.018262717070643954","0.04413145539906094","0.5977822273694966","0.9748","0.2702702702702702","0.6549505098985919","0.650620202742453","0.3592814371257485","0.5898852876912913","0.5413832099681818","0.5110645349150897","0.0"
"0.37674883949863686","4","1","Virginia, Orange","-78.0156,38.2453","0.07780187361383156","0.11653054421201764","0.6115854274873184","0.3088","0.7297297297297297","0.6549505098985919","0.5488082997729005","0.34730538922155696","0.6114115319998742","0.3940478135359599","0.24995183594644083","0.0"
"0.3805269493916325","4","1","Virginia, Page","-78.488,38.6181","0.04989347768509422","0.0742033320869168","0.5619083399518268","0.1264","0.7297297297297297","0.6549505098985919","0.28197379448771026","0.3233532934131737","0.6281436499318728","0.48702071819184123","0.5216166353530235","0.5593096723628844"
"0.371334620272513","4","1","Virginia, Patrick","-80.2866,36.6802","0.0425324573765285","0.03789064352444639","0.5186825060347363","0.4798","0.45945945945945943","0.6549505098985919","0.44323077353993195","0.3652694610778443","0.7080205562076126","0.37501282016016313","0.5119802018245282","0.0"
