county,partiallycovered,ratepartiallycovered,fullycovered,ratefullycovered,Rate.O65Partial.Per.100K,Rate.O65Full.Per.100K,Rate.U65Partial.Per.100K,Rate.U65Full.Per.100K,Rate.HispanicPartial.Per.100K,Rate.HispanicFull.Per.100K,Rate.BlackPartial.Per.100K,Rate.BlackFull.Per.100K,Rate.NAPartial.Per.100K,Rate.NAFull.Per.100K,Rate.AsianPartial.Per.100K,Rate.AsianFull.Per.100K,Rate.PIPartial.Per.100K,Rate.PIFull.Per.100K,Rate.WhitePartial.Per.100K,Rate.WhiteFull.Per.100K,Compare.Partial.O65,Compare.Full.O65,Compare.Partial.U65,Compare.Full.U65,Compare.Partial.Hispanic,Compare.Full.Hispanic,Compare.Partial.Black,Compare.Full.Black,Compare.Partial.NA,Compare.Full.NA,Compare.Partial.PA,Compare.Full.PA,Compare.Partial.Asian,Compare.Full.Asian,Compare.Partial.White,Compare.Full.White
MCKEAN,7792,19180.3,7578,18653.5,25917.115312382623,43095.02942281207,18276.50435245372,14600.676625993081,8934.707903780069,6643.757159221077,1371.036846615253,1113.9674378748928,0,0,0,1657.4585635359115,50000,0,15735.178897884567,14792.37398798642,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MERCER,6997,6394.4,33348,30475.9,7641.55670619676,66811.42475363288,7597.894281387467,24013.845821013918,7026.713124274101,11498.257839721255,3292.5062557618858,14026.076649545636,0,0,0,719.4244604316547,7777.777777777778,17777.777777777777,5353.734252245374,23872.289979706242,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MIFFLIN,3095,6708.1,12435,26951.8,10173.051915574673,65829.7489246774,8185.76075171666,19501.26490784243,6719.367588932806,8695.652173913044,3536.9774919614147,7073.954983922829,0,0,0,0,0,28571.42857142857,6473.844763303581,24216.472714947464,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
MONROE,21624,12699.8,40106,23554.2,15889.830508474575,57418.67140513942,15315.7353083466,18411.076024523474,9445.812368411662,10280.840737965242,9882.371769224614,10750.580139233416,0,0,235.10971786833858,235.10971786833858,19262.29508196721,13524.590163934427,13512.116375244868,26951.679605310892,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
MONTGOMERY,230552,27746.8,198920,23939.9,50810.5604446503,47765.850202980684,29185.096334058024,22103.605967463827,15955.77339564573,8054.257380599566,14931.589724497393,10901.433358153388,1559.1397849462364,3494.6236559139784,1804.7752808988764,3022.4719101123596,70496.08355091384,60443.86422976501,27788.210712523152,20799.817975554884,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
MONTOUR,1618,8875.5,8578,47054.3,7580.8538163001285,85433.37645536869,11888.111888111887,44923.43099938036,10338.345864661653,21992.48120300752,5741.626794258374,23923.444976076556,0,0,0,2034.4287949921752,90909.09090909091,409090.90909090906,8286.59308847476,44291.65912791749,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NORTHAMPTON,66681,21842.2,95389,31245.9,31058.917059850333,68591.97041184909,24847.278363675046,26026.50214266176,15902.779426075811,11499.845719304074,11859.443631039532,12253.243802696017,0,0,446.64530536945335,504.9033886785125,42857.142857142855,31203.007518796992,22602.53838705215,32482.88144971642,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
NORTHUMBERLAND,7570,8333.1,28352,31209.9,12440.880115155252,65463.705531564876,9225.318764578986,25708.122139011175,6541.7781742491825,10734.463276836157,2323.9184840900966,15981.40865212728,0,0,0,1088.929219600726,17647.058823529413,27450.980392156864,7190.647396366579,27569.704040572396,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
PERRY,8104,17513.8,9743,21055.9,42442.33696288491,55216.016859852476,14675.351109301851,15465.771083519914,7767.944936086529,5014.749262536873,3869.0476190476193,3571.428571428571,0,0,0,0,0,13157.894736842105,11008.338269467353,17886.271472182983,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PHILADELPHIA,35262,2226,64306,4059.6,3237.410071942446,7393.931009038924,2629.1188224646453,4266.777904824335,1156.750365808153,1224.6711919266454,1332.8083738031223,2209.470828817284,71.60474182512532,55.69257697509747,375.8668623659421,297.43183530197484,6353.05528612997,8874.878758486906,2879.326425250975,5136.448090240803,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
PIKE,7128,12772.1,12286,22014.4,21214.747124625806,43374.822750905936,13250.898389971988,17365.100025466174,6641.366223908918,7542.6944971537,7663.817663817664,9145.299145299145,0,0,0,513.874614594039,15277.77777777778,13888.888888888889,10654.8553487329,17268.44583987441,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
POTTER,1188,7188.7,2796,16918.8,12847.483095416981,36939.64437766091,8772.819472616633,10882.35294117647,16666.666666666664,15789.473684210525,0,0,0,0,0,0,0,0,7235.899033966968,12876.285447179805,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SCHUYLKILL,19729,13956.7,41682,29486.6,24841.536489903363,64015.79439576045,13955.504189540596,24342.675527304247,8000.591540964212,9242.827565808931,2708.7576374745418,19674.134419551934,0,0,0,910.7468123861568,7692.307692307692,20879.12087912088,12332.220640070964,26915.505341705764,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SNYDER,3787,9380.3,9458,23427.1,16516.634050880628,58630.136986301375,9746.122385986573,18130.256964271935,7314.285714285715,11085.714285714286,4640,6560.000000000001,0,0,0,0,0,0,7422.321521355087,19983.373168450587,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SOMERSET,5603,7628.6,19941,27150.2,13725.965912537149,57160.18681385334,8083.472740531033,20958.263629734483,3978.779840848806,14588.859416445624,1093.815734118637,22086.663862010937,0,0,0,1361.8677042801557,11627.906976744185,41860.46511627907,7248.501573886422,21994.16440285743,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
SULLIVAN,1659,27349.2,1632,26904.1,50869.06141367323,52433.371958285046,19838.37330552659,18222.10636079249,15702.479338842975,8264.462809917355,0,0,0,0,0,0,0,0,27531.08348134991,23321.492007104796,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SUSQUEHANNA,3273,8115.9,8921,22121.1,10054.461667364892,47203.60284876414,9665.352747164348,16386.45322178425,11731.0443490701,11444.921316165952,4607.046070460705,5420.054200542006,0,0,0,2100.840336134454,0,0,7398.299006045701,19002.971615944254,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TIOGA,3041,7491.8,9427,23224.4,9302.32558139535,57661.0659841994,8836.447851780866,15911.994888995368,7089.55223880597,11567.164179104479,2554.027504911591,3143.4184675834967,0,0,0,0,0,19230.76923076923,5773.164246267131,16110.145223972184,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
UNION,4620,10284.3,11865,26411.9,20115.720792810538,60014.772867167296,10137.86976407489,21259.58342930473,3547.671840354767,6725.79453067258,2133.078637376632,3438.3954154727794,0,0,0,0,8045.977011494253,20689.655172413793,7897.50882182546,22768.2098277769,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
VENANGO,3375,6661,13273,26196,8651.421615511696,53073.64576993306,8547.143579373103,20879.676440849344,9660.10733452594,17889.08765652952,3267.9738562091507,5664.488017429194,0,0,0,1612.9032258064515,0,44444.444444444445,6060.1127368185425,18862.050019332128,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
WARREN,5270,13447,8489,21660.6,23819.006527270718,44241.61964819117,13004.37329812691,17621.090849079956,7189.5424836601305,20043.572984749455,3076.923076923077,5230.7692307692305,0,0,0,3321.0332103321034,0,16666.666666666664,12396.132741050431,18651.685393258427,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
WASHINGTON,34167,16516.6,68014,32878.4,28698.530447438847,64880.98032771492,17329.67744392399,28694.9236452264,15757.741847081392,22471.91011235955,8278.69763307034,12612.512501389043,0,0,849.1847826086956,2921.195652173913,31034.482758620692,38505.74712643678,14403.354817038608,27078.39103142779,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
WAYNE,5638,10977.2,15681,30530.9,16985.24074522139,52609.08137753044,12748.447204968943,25260.869565217392,5767.634854771784,10000,3287.3806998939554,14634.146341463415,0,0,1043.8413361169103,1461.3778705636742,0,20512.82051282051,10523.590706103165,26056.565918063556,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
WESTMORELAND,44473,12746.7,109762,31459.5,20952.691926105465,59860.34887663733,13927.710402437408,26058.01649641114,13370.216689718764,32549.562010142923,6639.588859416445,10071.286472148542,370.0962250185048,0,446.4285714285714,892.8571428571428,27753.30396475771,29955.947136563875,11343.744010514114,22689.617616009687,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
WYOMING,3213,11991.5,7822,29193.1,14978.204010462076,62214.47253705318,13536.656891495602,23478.005865102637,13487.475915221581,16184.971098265896,5769.2307692307695,6318.681318681319,0,0,0,3278.688524590164,0,0,10749.487843531368,25878.396660353294,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
YORK,48785,10863.9,124269,27673.3,16685.85757785113,68103.42621734347,14057.809566445603,21699.93024539047,9144.09657809869,9321.04226718799,7740.693196405648,11906.290115532734,0,456.43153526970957,649.7413067019612,1227.2891348814824,15841.584158415842,27722.772277227727,11022.458390199388,26855.04472565662,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
