Toxpi.Score,HCluster,Transmissible.Cases,Disease.Spread,Population.Mobility,Residential.Density,Social.Distancing,Testing,Population.Demographics,Air.Pollution,Age.Distribution,Comorbidities,Health.Disparities,Hospital.Beds,COUNTY_NAM,pvi_image_path
0.40385197657573957,1,0.023204851811037337,0.0709866492999024,0.6083933337313323,0.774,0.75,0.5609044911850406,0.18074640780462742,0.4730538922155689,0.5938927650957907,0.3922121729269588,0.385289656483231,0.4723030671533004,CLARION,/images/20210504_images_21.png
0.40339999082515565,1,0.04189704768300833,0.0989130434782608,0.6543442499101659,0.5196,1,0.5609044911850406,0.28185582873753634,0.44910179640718567,0.5878652729484978,0.3575499392291161,0.254688409949652,0.44478151200119964,COLUMBIA,/images/20210504_images_22.png
0.403258463105703,1,0.034091552753057065,0.0876410390973498,0.5779610465291012,0.7564,0.75,0.5609044911850406,0.24657770322110523,0.4610778443113772,0.6424111072462477,0.39440032641722206,0.30796710430723145,0.4279635283452874,SOMERSET,/images/20210504_images_23.png
0.4023996055018856,1,0.0246445912053412,0.0777534006143046,0.6232518229334398,0.6708,0.825,0.5609044911850406,0.34244495179949613,0.4251497005988024,0.5898852876912913,0.39908331173062705,0.2642402248320016,0.4574941993647298,LYCOMING,/images/20210504_images_24.png
0.3999867395487026,1,0.026027184692594445,0.0654205607476636,0.5811089209292981,0.6657,0.75,0.5609044911850406,0.324460241133808,0.4670658682634731,0.6189409155096902,0.3878703699076104,0.31268763440811526,0.466635121832858,HUNTINGDON,/images/20210504_images_25.png
0.39982251778850564,1,0.04817267476025703,0.1387662060122524,0.6624178802537903,0.1194,1,0.5609044911850406,0.6527826844654803,0.4131736526946108,0.542700408721451,0.3173489739223281,0.2970472879788603,0.4843826064559812,MONROE,/images/20210504_images_26.png
0.39974697381270374,1,0.02978518010949651,0.0878048780487804,0.7060381997729303,0.3862,1,0.5609044911850406,0.4871546373689668,0.4610778443113772,0.5517358041566147,0.3133903205456015,0.1745769358811913,0.47478710027788634,YORK,/images/20210504_images_27.png
0.39923116050584695,1,0.0190707970333761,0.0573284382942672,0.5629848244344253,0.7412,0.75,0.5609044911850406,0.23242842172532427,0.4730538922155689,0.6075890184122873,0.43738291999827156,0.3416049569447649,0.41379953935366137,CRAWFORD,/images/20210504_images_28.png
0.39736868623759863,1,0.04052488737940862,0.1128472222222222,0.679194042440038,0.6189,0.825,0.5609044911850406,0.2012583585616466,0.49101796407185627,0.6151952376728468,0.3811527950007285,0.24335313418278898,0.38679345059081033,BLAIR,/images/20210504_images_29.png
0.39544597845997453,1,0.02596154105042789,0.0791731405796122,0.6701102899148073,0.4196,1,0.5609044911850406,0.3174119615264105,0.47904191616766467,0.6281436499318728,0.3971173711951066,0.1323026764981285,0.4679039028295486,BEAVER,/images/20210504_images_30.png
0.39518773577496047,1,0.01973730902151075,0.065879769420807,0.6363403899228971,0.5253,0.825,0.5609044911850406,0.266064632565608,0.502994011976048,0.6388951207196634,0.42878973910157375,0.27107738556330857,0.4043955377773715,LAWRENCE,/images/20210504_images_31.png
0.39365582597053883,1,0.011470048021918727,0.0475134621476084,0.5909025112050547,0.8325,0.675,0.5609044911850406,0.2910379214071596,0.47904191616766467,0.579673914473061,0.3649346689180456,0.25796408313691416,0.4726129340203895,GREENE,/images/20210504_images_32.png
0.3935378471377865,1,0.03289537811412793,0.082466281310212,0.6415858805524007,0.5097,0.75,0.5609044911850406,0.1519693656596798,0.44910179640718567,0.6335581539925471,0.4878831150436308,0.3890783463860399,0.4439407081107626,MIFFLIN,/images/20210504_images_33.png
0.3925749733534928,1,0.024111962239072054,0.0812869416854548,0.6610615466632287,0.9701,0.825,0.5609044911850406,0.31268338659247796,0.3532934131736527,0.46689449529952165,0.19720497272713775,0.2056535865302642,0.5069357966138585,CENTRE,/images/20210504_images_34.png
0.39135980549745786,1,0.01625172889549534,0.0539714867617108,0.6725358750134249,0.7778,1,0.5609044911850406,0.25259585744817326,0.4550898203592814,0.626321192473144,0.28909299377007014,0.09879162244350442,0.18250130081198024,MONTOUR,/images/20210504_images_35.png
0.38814690284500514,1,0.03236623271194641,0.1027801179443976,0.5601444473851812,0.7287,0.75,0.5609044911850406,0.19918748967528152,0.40119760479041916,0.579673914473061,0.34006526220551053,0.3823368021371513,0.43464126591770896,CLINTON,/images/20210504_images_36.png
0.3860452267755644,1,0.031991956878572,0.0860153802335516,0.5700342437978427,0.703,0.675,0.5609044911850406,0.3102415984496221,0.37724550898203596,0.5898852876912913,0.3916655095676151,0.317172552040144,0.4148571213355167,MCKEAN,/images/20210504_images_37.png
0.3846150641399126,1,0.025126864563531005,0.074632911392405,0.7232846086508863,0.4712,1,0.5609044911850406,0.3752555131629221,0.407185628742515,0.5755097168756041,0.2773513827329953,0.07491984841617573,0.4838869897554763,CUMBERLAND,/images/20210504_images_38.png
0.3838549024654943,1,0.02806755034137868,0.0794172932330828,0.643982889511976,0.4868,1,0.5609044911850406,0.271542540072888,0.43712574850299407,0.6114115319998742,0.3640813477102786,0.0958652922907885,0.4331898341497027,WASHINGTON,/images/20210504_images_39.png
0.38154021368421864,1,0.02535827540923783,0.0681098204857444,0.6054335264538571,0.4912,0.75,0.5609044911850406,0.1648696198652295,0.4670658682634731,0.6388951207196634,0.4576095488433884,0.3252108058787446,0.4212261821547393,VENANGO,/images/20210504_images_40.png
0.3767683420884579,1,0.02131954571637533,0.0593548387096774,0.6486774186040896,0.2579,0.825,0.5609044911850406,0.4155728776693651,0.44311377245508987,0.595880459448231,0.37386048199838273,0.26499144174258527,0.48145409871432443,FRANKLIN,/images/20210504_images_41.png
0.3761554904391344,1,0.025466332861076964,0.0676156583629894,0.6560004400479135,0.5412,1,0.5609044911850406,0.17236413817990606,0.532934131736527,0.5734100391661536,0.2907569482438865,0.03912823127750996,0.4755430986361125,BUTLER,/images/20210504_images_42.png
