county,total,PCT_WHITE,PCT_BLACK,PCT_ASIAN,PCT_NA,PCT_PI,PCT_HISP,PCT_NHISP,BAC_TOTAL,WA_TOTAL,IAC_TOTAL,AAC_TOTAL,NAC_TOTAL,H_TOTAL,NH_TOTAL,EXP_WHITE,EXP_BLACK,EXP_NA,EXP_ASIAN,EXP_PI,EXP_HISP,EXP_NHISP,adm_hisp,adm_nhisp,adm_unk_eth,total_adm,adm_white,adm_black,adm_na,adm_asian,adm_pi,rate_white,rate_black,rate_na,rate_asian,rate_pi,rate_hisp,rate_nhisp,pct_adm,adj_exp_white,adj_exp_black,adj_exp_na,adj_exp_asian,adj_exp_pi,adj_exp_hisp,adj_exp_nhisp,pae_white,pae_black,pae_na,pae_asian,pae_pi,pae_hisp,pae_nhisp,pae_white_adj,pae_black_adj,pae_na_adj,pae_asian_adj,pae_pi_adj,pae_hisp_adj,pae_nhisp_adj,diff_ae_white,diff_ae_black,diff_ae_na,diff_ae_asian,diff_ae_pi,diff_ae_hisp,diff_ae_nhisp,pd_ae_white,pd_ae_black,pd_ae_na,pd_ae_asian,pd_ae_pi,pd_ae_hisp,pd_ae_nhisp,arcgis_county
CAMBRIA,63920,0.9398626083119689,0.04842182139080556,0.007797701009516999,0.004381927591689552,0.001171557029722554,0.016652846351056304,0.9833471536489437,6365,123544,576,1025,154,2189,129260,60076.01792330105,3095.122823300291,280.0928116607962,498.4290485283266,74.88592533986565,1064.449938759519,62855.55006124048,338,32596,16249,50388,40125,504,0,38,26,32478.307323706533,7918.303220738414,0,3707.3170731707314,16883.116883116883,15440.840566468709,25217.391304347824,0.7882978723404256,47357.79710762349,2439.8787362399107,220.79656749005318,392.91055846754256,59.032415613660056,839.1036219370252,49548.89637806298,0.6679037890165677,0.16283683355175904,0,0.07623953722641107,0.3471947483055118,0.31753489543519164,0.5185858682048212,0.8472733625851195,0.20656764310209644,0,0.09671412279733657,0.4404359830056424,0.4028107985277734,0.6578552174258191,-7232.79710762349,-1935.8787362399107,-220.79656749005318,-354.91055846754256,-33.032415613660056,-501.1036219370252,-16952.89637806298,-15.272663741488046,-79.34323568979036,-100,-90.32858772026634,-55.956401699435766,-59.71892014722266,-34.214478257418094,"Cambria County, Pennsylvania"
CAMERON,3500,0.9662297267273939,0.01888469229060209,0.005998666962897134,0.008886914019106865,6.665185514330149e-4,0.013108198178182626,0.9868918018218173,85,4349,40,27,3,59,4442,3381.804043545879,66.09642301710731,31.104199066874028,20.995334370139968,2.332814930015552,45.878693623639194,3454.1213063763607,8,1160,608,1809,1658,0,0,0,0,38123.70659921821,0,0,0,0,13559.322033898305,26114.36289959478,0.5168571428571429,1747.9095756498557,34.162408353699185,16.07642746056432,10.851588535880916,1.205732059542324,23.712730504332374,1785.2872694956677,0.4902708668659462,0,0,0,0,0.1743728813559322,0.33583070688878885,0.9485616550750755,0,0,0,0,0.337371522800311,0.6497553754067225,-89.9095756498557,-34.162408353699185,-16.07642746056432,-10.851588535880916,-1.205732059542324,-15.712730504332374,-625.2872694956677,-5.1438344924924495,-100,-100,-100,-100,-66.2628477199689,-35.02446245932775,"Cameron County, Pennsylvania"
CARBON,14040,0.9548266458901441,0.02856252434748734,0.008274250097389949,0.008118426178418387,0.0014647448383326841,0.05086092715231788,0.9491390728476821,1833,61276,521,531,94,3264,60911,13405.766108297623,401.01784183872223,113.98270354499417,116.17047136735488,20.565017530190886,714.087417218543,13325.912582781457,714,21114,3432,26358,22211,312,0,0,11,36247.47046151838,17021.27659574468,0,0,11702.127659574468,21875,34663.689645548424,1.8773504273504273,25167.320732372416,752.8510167510713,213.98547721075187,218.09268406700426,38.60774444877289,1340.5923178807946,25017.407682119207,1.6568243709885626,0.7780202461053525,0,0,0.5348889191974298,0.9998775819088319,1.5844318255007621,0.8825333549085447,0.41442462460426244,0,0,0.2849169294154304,0.5326003964640716,0.8439723359143599,-2956.3207323724164,-440.85101675107126,-213.98547721075187,-218.09268406700426,-27.60774444877289,-626.5923178807946,-3903.4076821192066,-11.746664509145532,-58.55753753957376,-100,-100,-71.50830705845696,-46.739960353592835,-15.602766408564007,"Carbon County, Pennsylvania"
CENTRE,48050,0.8788875837171973,0.044710672136087724,0.07187532672000788,0.0053997207889250375,0.0015990061561737012,0.030319616730524412,0.9696803832694756,7270,142908,878,11687,260,4930,157671,42230.54839761133,2148.3477961390154,259.456583907848,3453.6094488963786,76.83224580414634,1456.857583901698,46593.1424160983,1127,46752,19034,69748,48747,1521,16,200,230,34110.756570660844,20921.595598349384,1822.3234624145784,1711.303157354325,88461.53846153845,22860.040567951317,29651.61634035428,1.4515712799167533,61300.65118910708,3118.4799601478467,376.61972558594346,5013.160288067109,111.5274813808033,2114.7326277206166,67633.26737227937,1.1543065825486,0.7079859242221035,0.061667350116976674,0.05791042761477016,2.9935347794765073,0.7735828213089391,1.003409462759198,0.7952117808605299,0.48773762199449555,0.04248317045823148,0.039894994077101946,2.0622719813305928,0.5329278913215365,0.6912574509029574,-12553.651189107077,-1597.4799601478467,-360.61972558594346,-4813.160288067109,118.4725186191967,-987.7326277206166,-20881.26737227937,-20.47882191394701,-51.22623780055044,-95.75168295417686,-96.0105005922898,106.22719813305928,-46.70721086784635,-30.874254909704256,"Centre County, Pennsylvania"
CHESTER,167560,0.8557038495573526,0.0738575636964025,0.06518849384967228,0.007219117156943492,0.001264159544596101,0.07520025436422352,0.9247997456357765,38560,446751,3769,34034,660,39261,482825,143381.73703183,12375.573372969204,1209.6352708174516,10922.984029451087,211.8225732925227,12600.554621269293,154959.4453787307,8531,197212,45608,264417,196739,8223,46,1124,943,44037.73018974776,21325.207468879667,1220.4828867073493,3302.5797731680086,142878.78787878787,21728.942207279488,40845.44089473412,1.5780436858438769,226262.64478840653,19529.195419911663,1908.8573012875274,17236.945978248794,334.26527430346727,19884.225658224892,244532.77434177513,1.3721343043593128,0.6644540622223389,0.038027991668028956,0.10290228356733068,4.45183903368852,0.6770336906916757,1.2726684683079588,0.8695160448777743,0.42106189339556493,0.02409818689378872,0.06520876734302987,2.8211126685683916,0.42903355386490727,0.8064849406417951,-29523.644788406527,-11306.195419911663,-1862.8573012875274,-16112.945978248794,608.7347256965327,-11353.225658224892,-47320.77434177513,-13.048395512222566,-57.8938106604435,-97.59018131062113,-93.47912326569701,182.11126685683917,-57.09664461350927,-19.35150593582049,"Chester County, Pennsylvania"
CLARION,17740,0.9666683905668184,0.018437112122465866,0.009386636326023996,0.006050889532478279,5.947455523376086e-4,0.010524410426148118,0.9894755895738518,713,37383,234,363,23,407,38265,17148.69724865536,327.07436905254445,107.34278030616467,166.5189284236657,10.550786098469176,186.70304095986762,17553.296959040134,63,9454,2604,12420,9935,45,0,0,10,26576.251237193377,6311.360448807854,0,0,43478.260869565216,15479.115479115479,24706.650986541226,0.7001127395715896,12006.021410839885,228.98893256102605,75.15204799338022,116.58202316921803,7.386739760033098,130.71317749275963,12289.28682250724,0.5793442997997419,0.13758338854357235,0,0,0.9477966766334984,0.3374342467916312,0.5385882790031129,0.8275014394885203,0.1965160477264874,0,0,1.3537772176713576,0.4819712993626037,0.7692879283023529,-2071.021410839885,-183.98893256102605,-75.15204799338022,-116.58202316921803,2.613260239966902,-67.71317749275963,-2835.28682250724,-17.249856051147972,-80.34839522735126,-100,-100,35.37772176713576,-51.802870063739626,-23.07120716976471,"Clarion County, Pennsylvania"
CLEARFIELD,18130,0.9517669531996179,0.03409490775649726,0.008973005579852209,0.005592419444025536,5.780927964610667e-4,0.030349871814206,0.969650128185794,2713,75734,445,714,46,2415,77157,17255.534861509073,618.1406776252953,101.39056452018298,162.68059116272053,10.48082239983914,550.2431759915548,17579.756824008444,273,12178,13834,27155,19923,652,0,29,0,26306.54659730108,24032.43641725028,0,4061.624649859944,0,11304.347826086956,15783.40267247301,1.4977937120794265,25845.231614135628,925.8472201276832,151.86215000251346,243.66196652088672,15.698109887900268,824.1507691147641,26330.849230885236,1.1545860594817658,1.0547760786505456,0,0.17826342892369307,0,0.49614427204489314,0.6927285810557211,0.7708578625816392,0.7042198602811411,0,0.11901734363419463,0,0.3312500700487539,0.462499325153387,-5922.231614135628,-273.84722012768316,-151.86215000251346,-214.66196652088672,-15.698109887900268,-551.1507691147641,-14152.849230885236,-22.914213741836075,-29.578013971885888,-100,-88.09826563658054,-100,-66.8749929951246,-53.7500674846613,"Clearfield County, Pennsylvania"
CLINTON,7410,0.9637688649989663,0.020958238577630763,0.00956171180483771,0.005349390117841637,9.56171180483771e-4,0.015634690924126525,0.9843653090758735,811,37294,207,370,37,605,38091,7141.52728964234,155.30054786024397,39.638980773206534,70.85228447384742,7.0852284473847424,115.85305974777755,7294.1469402522225,97,8886,1608,11660,8722,39,0,0,0,23387.14002252373,4808.877928483354,0,0,0,16033.057851239668,23328.345278412224,1.573549257759784,11237.544965887946,244.3730618151747,62.37388877403349,111.48955964440768,11.148955964440768,182.3004961753153,11477.699503824684,1.2213073823368128,0.25112596534492826,0,0,0,0.8372674853057628,1.2182370430410787,0.7761481735090724,0.1595920585939896,0,0,0,0.5320885133889968,0.7741969544540647,-2515.544965887946,-205.3730618151747,-62.37388877403349,-111.48955964440768,-11.148955964440768,-85.30049617531529,-2591.699503824684,-22.385182649092762,-84.04079414060104,-100,-100,-100,-46.79114866110032,-22.580304554593532,"Clinton County, Pennsylvania"
COLUMBIA,20220,0.9540443149582152,0.025270259909530017,0.014122517825653607,0.006562907306601242,0.0010120371080272943,0.028275703442459558,0.9717242965575404,1648,62218,428,921,66,1844,63371,19290.77604845511,510.96465537069696,132.70198573947712,285.55731043471593,20.46339032431189,571.7347236065323,19648.265276393468,407,23329,1574,26227,23033,175,0,18,29,37019.83348870102,10618.932038834952,0,1954.3973941368076,43939.393939393936,22071.58351409978,36813.36889113317,1.297082096933729,25021.720248409107,662.7631066472437,172.1253699302308,370.3912750134171,26.54269723223185,741.5868741853868,25485.41312581461,1.1939903268870609,0.34248944258784436,0,0.06303463207647474,1.4171649731738754,0.7118686047833913,1.187331282015455,0.9205202428663732,0.26404607957929666,0,0.0485972570475586,1.0925792411475106,0.5488230902779644,0.9153863774870361,-1988.7202484091067,-487.7631066472437,-172.1253699302308,-352.3912750134171,2.4573027677681516,-334.5868741853868,-2156.4131258146117,-7.947975713362676,-73.59539204207033,-100,-95.14027429524414,9.25792411475106,-45.11769097220356,-8.46136225129639,"Columbia County, Pennsylvania"
CRAWFORD,18526,0.9584067677123722,0.02720009399600517,0.00853013746915756,0.005909998825049935,5.874750323111268e-4,0.013688168252849254,0.9863118317471508,2315,81570,503,726,50,1165,83945,17755.44377863941,503.90894136999174,109.4886382328751,158.02932675361296,10.883562448595935,253.5870050522853,18272.412994947714,356,23303,4468,29298,24470,398,0,8,5,29998.77405909035,17192.22462203024,0,1101.9283746556473,10000,30557.93991416309,27759.84275418429,1.581453092950448,28079.40148043708,796.9083538949594,173.151145576313,249.9159675713782,17.211843496651394,401.03595347197745,28896.96404652802,1.378168876265346,0.7898252388972221,0,0.050623515042071764,0.45940839900680125,1.4038574252911693,1.2753104916380356,0.8714573213766058,0.4994300763127154,0,0.03201075976754118,0.29049764489043617,0.8877009577767836,0.8064168942619376,-3609.4014804370818,-398.9083538949594,-173.151145576313,-241.9159675713782,-12.211843496651394,-45.03595347197745,-5593.964046528021,-12.85426786233942,-50.05699236872846,-100,-96.79892402324587,-70.95023551095639,-11.22990422232164,-19.358310573806236,"Crawford County, Pennsylvania"
CUMBERLAND,93410,0.8847732856556937,0.056810987094385,0.0530161549151638,0.006713627548968467,0.0013299831562013451,0.041842703608873454,0.9581572963911266,14267,222194,1686,13314,334,10508,240623,82646.67261309834,5306.714304486502,627.1199493491445,4952.239030625451,124.23372662076764,3908.5269441048695,89501.47305589513,1944,69590,30946,108074,73856,2090,28,229,172,33239.421406518624,14649.190439475713,1660.7354685646499,1719.9939912873667,51497.00598802395,18500.190331176247,28920.759860861184,1.1569853334760731,95620.98807395343,6139.7906192385635,725.568583727218,5729.667926301413,143.73659962330416,4522.108349825389,103551.8916501746,0.8936354926924772,0.39384068560710583,0.0446485557173867,0.04624170977689623,1.3844871652690764,0.49737408179623405,0.7775291023036002,0.772382731946669,0.34040248757850883,0.03859042498252208,0.039967412238465096,1.1966332892997802,0.4298879747264488,0.6720302149099626,-21764.988073953427,-4049.7906192385635,-697.568583727218,-5500.667926301413,28.26340037669584,-2578.1083498253893,-33961.8916501746,-22.761726805333105,-65.95975124214912,-96.14095750174779,-96.00325877615349,19.663328929978018,-57.011202527355124,-32.796978509003736,"Cumberland County, Pennsylvania"
DAUPHIN,88670,0.7195193307905686,0.21827684350439205,0.05527623670827554,0.010694781553398059,0.001867342810910772,0.09645168747110494,0.903548312528895,60433,199209,2961,15304,517,26704,250160,63799.77906119972,19354.607713534442,948.3062803398059,4901.343908922792,165.57728704345817,8552.371128062876,80117.62887193712,3247,71102,21990,105521,66053,9125,19,226,193,33157.63846010973,15099.366240299176,641.6751097602162,1476.7381076842655,37330.75435203095,12159.22708208508,28422.60952990086,1.1900417277545956,75924.39930435158,23032.79080342695,1128.5240442961165,5832.803773693943,197.0438807501156,10177.678513638464,95343.32148636153,1.0353170649170882,0.47146396016174474,0.02003572094154195,0.046109802576508006,1.1656188082689405,0.37966079247258416,0.8874700986676974,0.8699838339875308,0.3961743098297203,0.01683614992168881,0.03874637460277068,0.9794772578842785,0.3190314958022009,0.7457470422841399,-9871.39930435158,-13907.79080342695,-1109.5240442961165,-5606.803773693943,-4.043880750115591,-6930.678513638464,-24241.32148636153,-13.001616601246923,-60.38256901702796,-98.31638500783112,-96.12536253972294,-2.052274211572147,-68.09685041977991,-25.425295771586008,"Dauphin County, Pennsylvania"
DELAWARE,204650,0.6904150692371791,0.23783019685756795,0.0682818175223935,0.0076464312820775935,0.0013516597638841465,0.03936266765269421,0.9606373323473058,134429,390244,4322,38595,764,22249,542982,141293.4439193887,48671.949786901285,1564.8421618771795,13973.87395595783,276.6171706788906,8055.56993512387,196594.43006487613,3796,151722,66803,233449,148009,19308,43,816,1616,37927.29676817581,14362.972275327496,994.9097639981491,2114.2635056354447,211518.32460732982,17061.440963638815,27942.362730256253,1.1407231859271927,161176.7074983502,55521.22162620238,1785.051736369732,15940.322018785238,315.5436202189901,9189.17540085381,224259.82459914617,1.0475291414401555,0.3966966617227284,0.027478809714851588,0.058394687298012615,5.842008997611807,0.4712267450436614,0.7717512645192022,0.9183026648035667,0.34775891874266485,0.024088937661520836,0.051190935731308694,5.121320465546036,0.41309473749377945,0.6765456107494773,-13167.70749835021,-36213.22162620238,-1742.051736369732,-15124.322018785238,1300.45637978101,-5393.17540085381,-72537.82459914617,-8.16973351964333,-65.22410812573352,-97.59110623384791,-94.88090642686913,412.1320465546036,-58.69052625062206,-32.34543892505227,"Delaware County, Pennsylvania"
