County.Population,Partially.Covered,Rate.Partially.Covered.per.100.000,Fully.Covered,Rate.Fully.Covered.per.100.000,county,TOT_POP,TOT_BAC,TOT_IAC,TOT_H,TOT_NHWA,TOT_NHAAC,TOT_NHNAC,TOT_O65,TOT_U65,U65Partial,O65Partial,U65Full,O65Full,Rate.O65Partial.Per.100K,Rate.O65Full.Per.100K,Rate.U65Partial.Per.100K,Rate.U65Full.Per.100K,Partially.Covered.Hispanic,Fully.Covered.Hispanic,Rate.HispanicPartial.Per.100K,Rate.HispanicFull.Per.100K,Partially.Covered.African.American,Partially.Covered.Native.American,Partially.Covered.Asian,Partially.Covered.Pacific.Islander,Partially.Covered.White,Fully.Covered.African.American,Fully.Covered.Native.American,Fully.Covered.Asian,Fully.Covered.Pacific.Islander,Fully.Covered.White,Rate.BlackPartial.Per.100K,Rate.BlackFull.Per.100K,Rate.NAPartial.Per.100K,Rate.NAFull.Per.100K,Rate.AsianPartial.Per.100K,Rate.AsianFull.Per.100K,Rate.PIPartial.Per.100K,Rate.PIFull.Per.100K,Rate.WhitePartial.Per.100K,Rate.WhiteFull.Per.100K,Compare.Partial.O65,Compare.Full.O65,Compare.Partial.U65,Compare.Full.U65,Compare.Partial.Hispanic,Compare.Full.Hispanic,Compare.Partial.Black,Compare.Full.Black,Compare.Partial.NA,Compare.Full.NA,Compare.Partial.PA,Compare.Full.PA,Compare.Partial.Asian,Compare.Full.Asian,Compare.Partial.White,Compare.Full.White
253370,38543,15212.1,45184,17833.2,CUMBERLAND,251131,12729,1288,10508,213888,13013,250,46417,162451,22787,16088,23018,19657,34659.71519055519,42348.7084473361,14026.998910440685,14169.195634375903,784,531,7460.9821088694325,5053.2927293490675,573,9,105,49,24897,959,18,100,71,32299,4501.531934951685,7533.977531620709,698.7577639751553,1397.5155279503106,806.8854222700376,768.4623069238454,19600,28399.999999999996,11640.204219030522,15100.893925792938,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
278299,31661,11376.6,40618,14595.1,DAUPHIN,276864,53953,1848,26704,180417,14864,287,46898,178123,19661,12530,20230,17481,26717.557251908398,37274.51064011258,11037.878320037278,11357.320503247756,1350,752,5055.422408627921,2816.057519472738,3562,0,79,68,21119,2682,12,103,55,27609,6602.042518488314,4970.993271921858,0,649.3506493506494,531.4854682454252,692.9494079655544,23693.379790940766,19163.763066202093,11705.659666217705,15302.881657493472,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
566747,85767,15133.2,100867,17797.5,DELAWARE,565231,129116,3279,22249,374703,37941,538,92536,369878,56399,28965,51726,41219,31301.331373735626,44543.74513702775,15248.000692120104,13984.611142052245,1436,821,6454.22266169266,3690.0534855499122,7838,13,309,713,57080,6390,19,257,278,62965,6070.510238854983,4949.038074289786,396.4623360780726,579.4449527294906,814.4223926622915,677.367491631744,132527.88104089219,51672.8624535316,15233.398184695612,16803.975415195502,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
29910,2857,9552,8955,29939.8,ELK,30110,254,145,257,29286,175,23,6626,18733,2055,650,4141,4715,9809.8400241473,71159.07032900695,10969.9460844499,22105.375540490044,34,20,13229.571984435797,7782.101167315175,11,0,0,0,2178,0,0,5,0,7202,4330.708661417323,0,0,0,0,2857.142857142857,0,0,7437.00061462815,24591.955200437067,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
269728,27964,10367.5,57736,21405.3,ERIE,271544,23904,1497,11750,228815,5900,259,48848,174991,21884,6276,29983,25209,12848.018342613823,51607.02587618735,12505.786011852038,17134.024035521827,1398,583,11897.872340425532,4961.702127659574,1124,18,224,119,21848,1755,9,64,71,37889,4702.141900937082,7341.867469879518,1202.4048096192384,601.2024048096192,3796.610169491525,1084.7457627118645,45945.94594594595,27413.127413127415,9548.325066101435,16558.792037235322,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
129274,18760,14511.8,25993,20106.9,FAYETTE,130323,7605,683,1704,119490,727,280,27567,82310,11143,7234,11148,13446,26241.52065875866,48775.71008814887,13537.844733325233,13543.919329364599,336,160,19718.309859154928,9389.671361502347,367,0,13,10,11954,388,0,12,9,16525,4825.772518080211,5101.906640368179,0,0,1788.1705639614856,1650.6189821182943,3571.428571428571,3214.2857142857138,10004.184450581637,13829.609172315673,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7247,402,5547.1,2781,38374.5,FOREST,7284,1508,37,495,5224,20,4,1622,5185,246,142,619,932,8754.62392108508,57459.92601726264,4744.455159112826,11938.28351012536,5,8,1010.1010101010102,1616.1616161616162,0,0,0,0,312,5,0,0,0,1283,0,331.56498673740055,0,0,0,0,0,0,5972.434915773354,24559.724349157732,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
155027,12867,8299.8,24192,15605,FRANKLIN,154579,6962,869,9076,135761,2070,127,30376,95830,7536,5686,9240,13752,18718.725309454832,45272.5836186463,7863.92570176354,9642.07450693937,355,367,3911.4147201410315,4043.6315557514326,328,0,8,8,10635,359,0,5,15,19226,4711.2898592358515,5156.564205688021,0,0,386.47342995169083,241.54589371980674,6299.212598425197,11811.023622047243,7833.6193752255795,14161.651726195298,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14530,1292,8891.9,1261,8678.6,FULTON,14525,259,98,177,13934,61,5,3126,9029,549,741,526,695,23704.414587332052,22232.885476647472,6080.407575589767,5825.672831985824,5,0,2824.858757062147,0,17,0,0,0,1163,0,0,0,0,1088,6563.706563706563,0,0,0,0,0,0,0,8346.490598535955,7808.238840246879,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36233,4562,12590.7,5878,16222.8,GREENE,36661,1460,259,576,34185,187,27,6877,23869,2541,2140,2412,2797,31118.220154136976,40671.804565944454,10645.607273031967,10105.157317022078,29,35,5034.722222222223,6076.388888888889,31,0,0,0,3861,157,0,0,0,4015,2123.2876712328766,10753.424657534248,0,0,0,0,0,0,11294.427380430014,11744.917361415826,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
